timestamp,src_ip,dst_ip,query
2024-11-26 11:51:58.967648,10.11.26.183,10.11.26.3,srtb.msn.com
2024-11-26 11:51:58.967691,10.11.26.183,10.11.26.3,srtb.msn.com
2024-11-26 11:51:58.968097,10.11.26.3,10.11.26.183,srtb.msn.com
2024-11-26 11:51:58.968116,10.11.26.3,10.11.26.183,srtb.msn.com
2024-11-26 11:52:05.656491,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:52:05.656822,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:52:05.657174,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 11:52:05.657338,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 11:53:47.734566,10.11.26.183,10.11.26.3,_ldap._tcp.Default-First-Site-Name._sites.NEMOTODES-DC.nemotoads.health
2024-11-26 11:53:47.734921,10.11.26.3,10.11.26.183,_ldap._tcp.Default-First-Site-Name._sites.NEMOTODES-DC.nemotoads.health
2024-11-26 11:53:47.735101,10.11.26.183,10.11.26.3,_ldap._tcp.NEMOTODES-DC.nemotoads.health
2024-11-26 11:53:47.735270,10.11.26.3,10.11.26.183,_ldap._tcp.NEMOTODES-DC.nemotoads.health
2024-11-26 11:53:48.312934,10.11.26.183,10.11.26.3,fd.api.iris.microsoft.com
2024-11-26 11:53:48.368686,10.11.26.3,10.11.26.183,fd.api.iris.microsoft.com
2024-11-26 11:54:57.029090,10.11.26.183,10.11.26.3,_ldap._tcp.Default-First-Site-Name._sites.NEMOTODES-DC.nemotoads.health
2024-11-26 11:54:57.029589,10.11.26.3,10.11.26.183,_ldap._tcp.Default-First-Site-Name._sites.NEMOTODES-DC.nemotoads.health
2024-11-26 11:54:57.029962,10.11.26.183,10.11.26.3,_ldap._tcp.NEMOTODES-DC.nemotoads.health
2024-11-26 11:54:57.030137,10.11.26.3,10.11.26.183,_ldap._tcp.NEMOTODES-DC.nemotoads.health
2024-11-26 11:59:18.403809,10.11.26.183,10.11.26.3,dns.msftncsi.com
2024-11-26 11:59:18.422564,10.11.26.3,10.11.26.183,dns.msftncsi.com
2024-11-26 11:59:22.341944,10.11.26.183,10.11.26.3,v10.events.data.microsoft.com
2024-11-26 11:59:22.367264,10.11.26.3,10.11.26.183,v10.events.data.microsoft.com
2024-11-26 12:00:37.655349,10.11.26.183,10.11.26.3,displaycatalog.mp.microsoft.com
2024-11-26 12:00:37.686162,10.11.26.3,10.11.26.183,displaycatalog.mp.microsoft.com
2024-11-26 12:00:37.702147,10.11.26.183,10.11.26.3,storecatalogrevocation.storequality.microsoft.com
2024-11-26 12:00:37.705023,10.11.26.3,10.11.26.183,storecatalogrevocation.storequality.microsoft.com
2024-11-26 12:00:42.931032,10.11.26.183,10.11.26.3,fe3cr.delivery.mp.microsoft.com
2024-11-26 12:00:42.954335,10.11.26.3,10.11.26.183,fe3cr.delivery.mp.microsoft.com
2024-11-26 12:00:49.477051,10.11.26.183,10.11.26.3,v10.events.data.microsoft.com
2024-11-26 12:00:49.499839,10.11.26.3,10.11.26.183,v10.events.data.microsoft.com
2024-11-26 12:00:59.823089,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 12:00:59.823118,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 12:00:59.823544,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 12:00:59.823606,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 12:00:59.823854,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 12:00:59.823873,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 12:00:59.884101,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 12:00:59.884131,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 12:01:56.691521,10.11.26.183,10.11.26.3,acroipm2.adobe.com
2024-11-26 12:01:56.698604,10.11.26.3,10.11.26.183,acroipm2.adobe.com
2024-11-26 12:01:56.907959,10.11.26.183,10.11.26.3,armmf.adobe.com
2024-11-26 12:01:56.912599,10.11.26.3,10.11.26.183,armmf.adobe.com
2024-11-26 12:01:57.771757,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 12:01:57.772120,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 12:01:57.772258,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 12:01:57.772416,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 12:02:05.778660,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 12:02:05.778936,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 12:02:05.779510,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 12:02:05.779840,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 12:02:08.392326,10.11.26.183,10.11.26.3,v10.events.data.microsoft.com
2024-11-26 12:02:08.412034,10.11.26.3,10.11.26.183,v10.events.data.microsoft.com
2024-11-26 12:04:54.129895,10.11.26.183,10.11.26.3,mobile.events.data.microsoft.com
2024-11-26 12:04:54.149055,10.11.26.3,10.11.26.183,mobile.events.data.microsoft.com
2024-11-26 12:04:56.836510,10.11.26.183,10.11.26.3,ecs.office.com
2024-11-26 12:04:56.869223,10.11.26.3,10.11.26.183,ecs.office.com
2024-11-26 12:04:58.252993,10.11.26.183,10.11.26.3,mrodevicemgr.officeapps.live.com
2024-11-26 12:04:58.258597,10.11.26.3,10.11.26.183,mrodevicemgr.officeapps.live.com
2024-11-26 12:04:59.619497,10.11.26.183,10.11.26.3,fa000000002.resources.office.net
2024-11-26 12:04:59.619497,10.11.26.183,10.11.26.3,fa000000005.resources.office.net
2024-11-26 12:04:59.634228,10.11.26.3,10.11.26.183,fa000000005.resources.office.net
2024-11-26 12:04:59.634256,10.11.26.3,10.11.26.183,fa000000002.resources.office.net
2024-11-26 12:05:00.387511,10.11.26.183,10.11.26.3,fa000000116.resources.office.net
2024-11-26 12:05:00.418189,10.11.26.3,10.11.26.183,fa000000116.resources.office.net
2024-11-26 12:05:00.557158,10.11.26.183,10.11.26.3,fa000000128.resources.office.net
2024-11-26 12:05:00.574101,10.11.26.3,10.11.26.183,fa000000128.resources.office.net
2024-11-26 12:05:00.817685,10.11.26.183,10.11.26.3,fa000000163.resources.office.net
2024-11-26 12:05:00.835461,10.11.26.3,10.11.26.183,fa000000163.resources.office.net
2024-11-26 12:05:33.406949,10.11.26.183,10.11.26.3,dns.msftncsi.com
2024-11-26 12:05:33.438034,10.11.26.3,10.11.26.183,dns.msftncsi.com
2024-11-26 12:09:49.025745,10.11.26.183,10.11.26.3,mobile.events.data.microsoft.com
2024-11-26 12:09:49.027193,10.11.26.3,10.11.26.183,mobile.events.data.microsoft.com
2024-11-26 12:10:48.394016,10.11.26.183,10.11.26.3,dns.msftncsi.com
2024-11-26 12:10:48.410925,10.11.26.3,10.11.26.183,dns.msftncsi.com
2024-11-26 12:10:59.866812,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 12:10:59.866911,10.11.26.183,10.11.26.3,wpad.nemotoads.health
